2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.215861+00:00 [notice] <0.44.0> Application syslog exited with reason: stopped
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.223679+00:00 [notice] <0.230.0> Logging: switching to configured handler(s); following messages may not be visible in this log output
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.239137+00:00 [notice] <0.230.0> Logging: configured log handlers are now ACTIVE
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,559 DEBUG dramatiq.worker._WorkerMiddleware Adding consumer for queue 'default'.
2025-10-01 01:09:09 worker_a-1       | 2025-10-01 04:09:09,545 DEBUG dramatiq.worker._WorkerMiddleware Adding consumer for queue 'default'.
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,560 DEBUG dramatiq.worker.ConsumerThread(default) Running consumer thread...
2025-10-01 01:09:09 worker_a-1       | 2025-10-01 04:09:09,546 DEBUG dramatiq.worker.ConsumerThread(default) Running consumer thread...
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,561 DEBUG pika.adapters.select_connection Using EPollPoller
2025-10-01 01:09:09 worker_a-1       | 2025-10-01 04:09:09,547 DEBUG pika.adapters.select_connection Using EPollPoller
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,562 DEBUG dramatiq.worker._WorkerMiddleware Adding consumer for delay queue 'default.DQ'.
2025-10-01 01:09:09 worker_a-1       | 2025-10-01 04:09:09,547 DEBUG dramatiq.worker._WorkerMiddleware Adding consumer for delay queue 'default.DQ'.
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,564 DEBUG pika.adapters.base_connection Created default connection workflow <pika.adapters.utils.connection_workflow.AMQPConnectionWorkflow object at 0x77b47747a150>
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,564 DEBUG pika.adapters.utils.connection_workflow Starting AMQP Connection workflow asynchronously.
2025-10-01 01:09:09 worker_a-1       | 2025-10-01 04:09:09,548 DEBUG dramatiq.worker.ConsumerThread(default.DQ) Running consumer thread...
2025-10-01 01:09:09 worker_a-1       | 2025-10-01 04:09:09,548 DEBUG pika.adapters.select_connection Using EPollPoller
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,564 DEBUG pika.adapters.select_connection call_later: added timeout <pika.adapters.select_connection._Timeout object at 0x77b4783c5bd0> with deadline=250.342794517 and callback=functools.partial(<bound method AMQPConnectionWorkflow._start_new_cycle_async of <pika.adapters.utils.connection_workflow.AMQPConnectionWorkflow object at 0x77b47747a150>>, first=True); now=250.342794517; delay=0
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,564 DEBUG pika.adapters.utils.connection_workflow Beginning a new AMQP connection workflow cycle; attempts remaining after this: 0
2025-10-01 01:09:09 worker_a-1       | 2025-10-01 04:09:09,548 DEBUG pika.adapters.base_connection Created default connection workflow <pika.adapters.utils.connection_workflow.AMQPConnectionWorkflow object at 0x7d3965bb2db0>
2025-10-01 01:09:09 worker_a-1       | 2025-10-01 04:09:09,549 DEBUG pika.adapters.utils.connection_workflow Starting AMQP Connection workflow asynchronously.
2025-10-01 01:09:09 worker_a-1       | 2025-10-01 04:09:09,549 DEBUG dramatiq.worker.WorkerThread Running worker thread...
2025-10-01 01:09:09 worker_a-1       | 2025-10-01 04:09:09,549 DEBUG dramatiq.worker.WorkerThread Running worker thread...
2025-10-01 01:09:09 worker_a-1       | 2025-10-01 04:09:09,549 DEBUG dramatiq.worker.WorkerThread Running worker thread...
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,565 DEBUG pika.adapters.select_connection call_later: added timeout <pika.adapters.select_connection._Timeout object at 0x77b4779cb3a0> with deadline=250.34292198 and callback=<bound method AMQPConnectionWorkflow._try_next_config_async of <pika.adapters.utils.connection_workflow.AMQPConnectionWorkflow object at 0x77b47747a150>>; now=250.34292198; delay=0
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,565 DEBUG pika.adapters.utils.connection_workflow _try_next_config_async: 'rabbitmq':5672
2025-10-01 01:09:09 worker_a-1       | DEBUG: DRAMATIQ_BROKER_URL= amqp://guest:guest@rabbitmq:5672//
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,566 DEBUG dramatiq.worker.ConsumerThread(default.DQ) Running consumer thread...
2025-10-01 01:09:09 worker_a-1       | DEBUG: broker= <dramatiq.brokers.rabbitmq.RabbitmqBroker object at 0x7d3965ed0f20>
2025-10-01 01:09:09 worker_a-1       | Starting worker A (pid=1)...
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,566 DEBUG pika.adapters.select_connection Using EPollPoller
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,569 DEBUG pika.adapters.base_connection Created default connection workflow <pika.adapters.utils.connection_workflow.AMQPConnectionWorkflow object at 0x77b47747b050>
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,571 DEBUG dramatiq.worker.WorkerThread Running worker thread...
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,576 DEBUG pika.adapters.select_connection process_timeouts: invoking callback=<bound method _AddressResolver._dispatch_result of <pika.adapters.utils.selector_ioloop_adapter._AddressResolver object at 0x77b4786a39b0>>
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,577 DEBUG pika.adapters.utils.selector_ioloop_adapter Invoking asynchronous getaddrinfo() completion callback; host='rabbitmq'
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,577 DEBUG pika.adapters.utils.connection_workflow getaddrinfo returned 1 records
2025-10-01 01:09:09 worker_b-1       | DEBUG: DRAMATIQ_BROKER_URL= amqp://guest:guest@rabbitmq:5672//
2025-10-01 01:09:09 worker_b-1       | DEBUG: broker= <dramatiq.brokers.rabbitmq.RabbitmqBroker object at 0x77b477581490>
2025-10-01 01:09:09 worker_b-1       | Starting worker B (pid=1)...
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,578 DEBUG pika.adapters.utils.connection_workflow Attempting to connect using address record (<AddressFamily.AF_INET: 2>, <SocketKind.SOCK_STREAM: 1>, 6, '', ('172.19.0.2', 5672))
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,573 DEBUG dramatiq.worker.WorkerThread Running worker thread...
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,578 INFO pika.adapters.utils.connection_workflow Pika version 1.3.1 connecting to ('172.19.0.2', 5672)
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,578 DEBUG pika.adapters.select_connection add_callback_threadsafe: added callback=<bound method _AsyncSocketConnector._start_async of <pika.adapters.utils.io_services_utils._AsyncSocketConnector object at 0x77b4786a0b30>>
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,571 DEBUG pika.adapters.utils.connection_workflow Starting AMQP Connection workflow asynchronously.
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,572 DEBUG dramatiq.worker.WorkerThread Running worker thread...
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,577 DEBUG pika.adapters.select_connection add_callback_threadsafe: added callback=<bound method _AddressResolver._dispatch_result of <pika.adapters.utils.selector_ioloop_adapter._AddressResolver object at 0x77b4786a39b0>>
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,577 DEBUG dramatiq.worker.WorkerThread Running worker thread...
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,572 DEBUG dramatiq.worker.WorkerThread Running worker thread...
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,578 DEBUG pika.adapters.select_connection call_later: added timeout <pika.adapters.select_connection._Timeout object at 0x77b4786a0ac0> with deadline=260.356588559 and callback=<bound method AMQPConnector._on_tcp_connection_timeout of <pika.adapters.utils.connection_workflow.AMQPConnector object at 0x77b4783c4050>>; now=250.356588559; delay=10.0
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,575 DEBUG dramatiq.worker.WorkerThread Running worker thread...
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,580 DEBUG pika.adapters.select_connection call_later: added timeout <pika.adapters.select_connection._Timeout object at 0x77b47873b970> with deadline=265.35877813499997 and callback=<bound method AMQPConnector._on_overall_timeout of <pika.adapters.utils.connection_workflow.AMQPConnector object at 0x77b4783c4050>>; now=250.358778135; delay=15.0
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,576 DEBUG dramatiq.worker.WorkerThread Running worker thread...
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,573 DEBUG dramatiq.worker.WorkerThread Running worker thread...
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,580 DEBUG pika.adapters.select_connection call_later: added timeout <pika.adapters.select_connection._Timeout object at 0x77b4786a0df0> with deadline=250.358313768 and callback=functools.partial(<bound method AMQPConnectionWorkflow._start_new_cycle_async of <pika.adapters.utils.connection_workflow.AMQPConnectionWorkflow object at 0x77b47747b050>>, first=True); now=250.358313768; delay=0
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,582 DEBUG pika.adapters.utils.connection_workflow Beginning a new AMQP connection workflow cycle; attempts remaining after this: 0
